#-----------------------------------------------------------------------------
TYPE;SPECIAL_LABELS
FORMAT;STR;LABEL   ; DD;POSITION_X       ;  DD;POSITION_Y
#-----------------------------------------------------------------------------
    inicio AUCAT   ; 2.05581181169778    ; 41.330731253249134
             s53   ; 2.0463732682525797  ; 41.324396065760034
             s52   ; 2.0375521490944664  ; 41.317787094426954
             s50   ; 2.0237017897656675  ; 41.30147565728624
             s48   ; 2.010010076473086   ; 41.29435174334064
             s46   ; 1.9853331600595427  ; 41.27664428029235
             s44   ; 1.9625448190095194  ; 41.26710502666049
             s42   ; 1.9388136481297489  ; 41.26594536430531
             s41   ; 1.9313270773314586  ; 41.26284020162626
             s31   ; 1.8171131998145797  ; 41.245702890106124
             s30   ; 1.8074765103108212  ; 41.24979915247918
             s28   ; 1.7856231484022205  ; 41.25258569249257
             s26   ; 1.767273615583859   ; 41.242748523094185
             s21   ; 1.7337543255469092  ; 41.25799093682335
             s16   ; 1.6778602205511226  ; 41.224063638058084
             s13   ; 1.6569435229578975  ; 41.20966497840827
             s10   ; 1.6180957414095973  ; 41.21270493923712
             s6    ; 1.5712404083107834  ; 41.20834077951528
             s3    ; 1.5389697178547792  ; 41.1956289345562
             s2    ; 1.5300442356917368  ; 41.19362976380212
       fin AUCAT   ; 1.5213424163821132  ; 41.197907890504986
