41.739787,2.642310,1635251523
41.738904,2.644232,1635251531
41.740643,2.644630,1635251539
41.741598,2.646690,1635251548
41.742029,2.649030,1635251556
41.741999,2.651458,1635251564
41.741624,2.653858,1635251572
41.741109,2.656249,1635251580
41.740605,2.658647,1635251589
41.740223,2.661039,1635251597
41.740041,2.663473,1635251605
41.740112,2.665906,1635251613
41.740449,2.668331,1635251621
41.741026,2.670636,1635251629
41.741776,2.672931,1635251637
41.742553,2.675197,1635251646
41.743341,2.677474,1635251654
41.744142,2.679791,1635251663
41.744872,2.682016,1635251671
41.745470,2.684335,1635251679
41.745892,2.686704,1635251687
41.746176,2.689164,1635251695
41.746391,2.691564,1635251703
41.746661,2.694046,1635251712
41.747168,2.696401,1635251720
41.748021,2.698600,1635251728
41.749109,2.700627,1635251736
41.750028,2.702792,1635251745
41.750759,2.705053,1635251753
41.751746,2.707170,1635251761
41.753026,2.708962,1635251769
41.754543,2.710460,1635251778
41.756065,2.711869,1635251786
41.757441,2.713489,1635251794
41.758652,2.715351,1635251802
41.759655,2.717392,1635251810
41.760500,2.719542,1635251819
41.761267,2.721778,1635251827
41.762008,2.724004,1635251835
41.762824,2.726287,1635251843
41.763718,2.728413,1635251851
41.764748,2.730466,1635251860
41.765891,2.732384,1635251868
41.767142,2.734162,1635251876
41.768527,2.735822,1635251884
41.770019,2.737333,1635251892
41.771557,2.738660,1635251901
41.773211,2.739837,1635251909
41.774873,2.740906,1635251917
41.776616,2.741832,1635251925
41.778375,2.742595,1635251934
41.780097,2.743312,1635251942
41.781903,2.743951,1635251950
