*HQ,830202000200000,V1,085901,A,3704.3512,N,-04-32.6686,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085904,A,3704.3843,N,-04-32.6697,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085908,A,3704.4084,N,-04-32.6875,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085911,A,3704.4144,N,-04-32.7269,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085914,A,3704.4068,N,-04-32.7669,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085917,A,3704.4060,N,-04-32.8082,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085920,A,3704.4051,N,-04-32.8503,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085923,A,3704.4042,N,-04-32.8920,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085926,A,3704.4033,N,-04-32.9340,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085929,A,3704.4025,N,-04-32.9761,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085933,A,3704.4070,N,-04-33.0332,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085936,A,3704.4114,N,-04-33.0632,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085939,A,3704.4045,N,-04-33.1024,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085942,A,3704.4046,N,-04-33.1476,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085945,A,3704.4066,N,-04-33.1927,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085948,A,3704.4085,N,-04-33.2354,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085951,A,3704.4197,N,-04-33.2759,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085954,A,3704.4428,N,-04-33.3070,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,085957,A,3704.4640,N,-04-33.3415,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090001,A,3704.4840,N,-04-33.3800,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090004,A,3704.5016,N,-04-33.4163,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090007,A,3704.5199,N,-04-33.4543,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090010,A,3704.5368,N,-04-33.4981,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090013,A,3704.5526,N,-04-33.5348,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090016,A,3704.5691,N,-04-33.5732,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090020,A,3704.5855,N,-04-33.6210,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090023,A,3704.5998,N,-04-33.6634,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090026,A,3704.6133,N,-04-33.7025,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090029,A,3704.6269,N,-04-33.7417,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090033,A,3704.6421,N,-04-33.7884,W,049.7,000,190821,FFFFFFFF#
*HQ,830202000200000,V1,090036,A,3704.6565,N,-04-33.8260,W,049.7,000,190821,FFFFFFFF#
